Ecosystem services,Ecosystem components,Rating,Ecosystem types,Link_assessment,Link assessment,Justification
Nursery population and habitat maintenance,Water,A,Brackish tidal systems ,1,Y,"The maintenance of nursery populations and habitats is directly dependent on water. Changes in water quality, properties or provision can cause habitat and species loss. Losses due to changes in water quantity or queality may require decades to recover."
Noise attenuation ,Atmosphere,A,Tropical-subtropical and Temperate-boreal forests and woodlands ,1,Y,Atmospheric elements such as rain and wind are important assets in regulating noise pollution.
Noise attenuation ,Atmosphere,A,"Shrublands & shrubby woodlands, Savannas and grasslands ",1,Y,Atmospheric elements such as rain and wind are important assets in regulating noise pollution.
Noise attenuation ,Atmosphere,A,Desert and Semi-deserts ,1,Y,Atmospheric elements such as rain and wind are important assets in regulating noise pollution.
Noise attenuation ,Atmosphere,A,Polar-Alpine ,1,Y,Atmospheric elements such as rain and wind are important assets in regulating noise pollution.
Noise attenuation ,Atmosphere,A,Intensive Land Use Systems - Agriculture and Croplands ,1,Y,Atmospheric elements such as rain and wind are important assets in regulating noise pollution.
Noise attenuation ,Atmosphere,A,Intensive Land Use Systems - Urban and Developed Area,1,Y,Atmospheric elements such as rain and wind are important assets in regulating noise pollution.
Noise attenuation ,Atmosphere,A,"Subterranean ecosystems (including Subterranean lithic systems, Subterranean freshwaters, Anthropogenic subterranean freshwaters and Subterranean tidal systems) ",0,N,Atmospheric elements such as rain and wind are important assets in regulating noise pollution.
Noise attenuation ,Atmosphere,A,Palustrine Wetlands ,1,Y,Atmospheric elements such as rain and wind are important assets in regulating noise pollution.
Noise attenuation ,Atmosphere,A,"Artificial Freshwaters, Lakes, Rivers and streams ",1,Y,Atmospheric elements such as rain and wind are important assets in regulating noise pollution.
Noise attenuation ,Atmosphere,A,Semi-confined transitional waters,1,Y,Atmospheric elements such as rain and wind are important assets in regulating noise pollution.
Noise attenuation ,Atmosphere,A,Pelagic ocean waters and Deep Sea floors,0,N,Atmospheric elements such as rain and wind are important assets in regulating noise pollution.
Noise attenuation ,Atmosphere,A,Anthropogenic marine systems,1,Y,Atmospheric elements such as rain and wind are important assets in regulating noise pollution.
Noise attenuation ,Atmosphere,A,Marine shelfs,0,N,Atmospheric elements such as rain and wind are important assets in regulating noise pollution.
Noise attenuation ,Atmosphere,A,Shoreline systems (including Anthropogenic shorelines) and supralittoral coastal systems,1,Y,Atmospheric elements such as rain and wind are important assets in regulating noise pollution.
Noise attenuation ,Atmosphere,A,Brackish tidal systems ,1,Y,Atmospheric elements such as rain and wind are important assets in regulating noise pollution.
Noise attenuation ,Structural and Biotic Integrity,R,Tropical-subtropical and Temperate-boreal forests and woodlands ,1,Y,"Structural and biotic integrity of ecosystems supports function as barriers and buffers that mediate the impact of light, noise and smells."
Noise attenuation ,Structural and Biotic Integrity,R,"Shrublands & shrubby woodlands, Savannas and grasslands ",1,Y,"Structural and biotic integrity of ecosystems supports function as barriers and buffers that mediate the impact of light, noise and smells."
Noise attenuation ,Structural and Biotic Integrity,R,Desert and Semi-deserts ,0,P,"Structural and biotic integrity of ecosystems supports function as barriers and buffers that mediate the impact of light, noise and smells."
Noise attenuation ,Structural and Biotic Integrity,R,Polar-Alpine ,0,P,"Structural and biotic integrity of ecosystems supports function as barriers and buffers that mediate the impact of light, noise and smells."
Noise attenuation ,Structural and Biotic Integrity,R,Intensive Land Use Systems - Agriculture and Croplands ,0,P,"Structural and biotic integrity of ecosystems supports function as barriers and buffers that mediate the impact of light, noise and smells."
Noise attenuation ,Structural and Biotic Integrity,R,Intensive Land Use Systems - Urban and Developed Area,1,P,"Structural and biotic integrity of ecosystems supports function as barriers and buffers that mediate the impact of light, noise and smells."
Noise attenuation ,Structural and Biotic Integrity,R,"Subterranean ecosystems (including Subterranean lithic systems, Subterranean freshwaters, Anthropogenic subterranean freshwaters and Subterranean tidal systems) ",0,N,"Structural and biotic integrity of ecosystems supports function as barriers and buffers that mediate the impact of light, noise and smells."
Noise attenuation ,Structural and Biotic Integrity,R,Palustrine Wetlands ,1,P,"Structural and biotic integrity of ecosystems supports function as barriers and buffers that mediate the impact of light, noise and smells."
Noise attenuation ,Structural and Biotic Integrity,R,"Artificial Freshwaters, Lakes, Rivers and streams ",0,N,"Structural and biotic integrity of ecosystems supports function as barriers and buffers that mediate the impact of light, noise and smells."
Noise attenuation ,Structural and Biotic Integrity,R,Semi-confined transitional waters,0,N,"Structural and biotic integrity of ecosystems supports function as barriers and buffers that mediate the impact of light, noise and smells."
Noise attenuation ,Structural and Biotic Integrity,R,Pelagic ocean waters and Deep Sea floors,0,N,"Structural and biotic integrity of ecosystems supports function as barriers and buffers that mediate the impact of light, noise and smells."
Noise attenuation ,Structural and Biotic Integrity,R,Anthropogenic marine systems,0,N,"Structural and biotic integrity of ecosystems supports function as barriers and buffers that mediate the impact of light, noise and smells."
Noise attenuation ,Structural and Biotic Integrity,R,Marine shelfs,0,N,"Structural and biotic integrity of ecosystems supports function as barriers and buffers that mediate the impact of light, noise and smells."
Noise attenuation ,Structural and Biotic Integrity,R,Shoreline systems (including Anthropogenic shorelines) and supralittoral coastal systems,0,N,"Structural and biotic integrity of ecosystems supports function as barriers and buffers that mediate the impact of light, noise and smells."
Noise attenuation ,Structural and Biotic Integrity,R,Brackish tidal systems ,0,N,"Structural and biotic integrity of ecosystems supports function as barriers and buffers that mediate the impact of light, noise and smells."
Noise attenuation ,Species,R,Tropical-subtropical and Temperate-boreal forests and woodlands ,1,Y,"Vegetation is the main natural barrier used to reduce noise and light pollution and is key in reducing air pollution, including smells. "
Noise attenuation ,Species,R,"Shrublands & shrubby woodlands, Savannas and grasslands ",1,Y,"Vegetation is the main natural barrier used to reduce noise and light pollution and is key in reducing air pollution, including smells. "
Noise attenuation ,Species,R,Desert and Semi-deserts ,0,P,"Vegetation is the main natural barrier used to reduce noise and light pollution and is key in reducing air pollution, including smells. "
Noise attenuation ,Species,R,Polar-Alpine ,0,P,"Vegetation is the main natural barrier used to reduce noise and light pollution and is key in reducing air pollution, including smells. "
Noise attenuation ,Species,R,Intensive Land Use Systems - Agriculture and Croplands ,0,P,"Vegetation is the main natural barrier used to reduce noise and light pollution and is key in reducing air pollution, including smells. "
Noise attenuation ,Species,R,Intensive Land Use Systems - Urban and Developed Area,1,P,"Vegetation is the main natural barrier used to reduce noise and light pollution and is key in reducing air pollution, including smells. "
Noise attenuation ,Species,R,"Subterranean ecosystems (including Subterranean lithic systems, Subterranean freshwaters, Anthropogenic subterranean freshwaters and Subterranean tidal systems) ",0,N,"Vegetation is the main natural barrier used to reduce noise and light pollution and is key in reducing air pollution, including smells. "
Noise attenuation ,Species,R,Palustrine Wetlands ,1,P,"Vegetation is the main natural barrier used to reduce noise and light pollution and is key in reducing air pollution, including smells. "
Noise attenuation ,Species,R,"Artificial Freshwaters, Lakes, Rivers and streams ",0,N,"Vegetation is the main natural barrier used to reduce noise and light pollution and is key in reducing air pollution, including smells. "
Noise attenuation ,Species,R,Semi-confined transitional waters,0,N,"Vegetation is the main natural barrier used to reduce noise and light pollution and is key in reducing air pollution, including smells. "
Noise attenuation ,Species,R,Pelagic ocean waters and Deep Sea floors,0,N,"Vegetation is the main natural barrier used to reduce noise and light pollution and is key in reducing air pollution, including smells. "
Noise attenuation ,Species,R,Anthropogenic marine systems,0,N,"Vegetation is the main natural barrier used to reduce noise and light pollution and is key in reducing air pollution, including smells. "
Noise attenuation ,Species,R,Marine shelfs,0,N,"Vegetation is the main natural barrier used to reduce noise and light pollution and is key in reducing air pollution, including smells. "
Noise attenuation ,Species,R,Shoreline systems (including Anthropogenic shorelines) and supralittoral coastal systems,0,N,"Vegetation is the main natural barrier used to reduce noise and light pollution and is key in reducing air pollution, including smells. "
Noise attenuation ,Species,R,Brackish tidal systems ,0,N,"Vegetation is the main natural barrier used to reduce noise and light pollution and is key in reducing air pollution, including smells. "
Noise attenuation ,Water,G,Tropical-subtropical and Temperate-boreal forests and woodlands ,0,N,"Water is used in urban planning strategies for buffering of noise pollution through water structures such as water fountains. The service, in this type of strategy is sensitive to alterations in the provision of water. This asset is limited to noise attenuation and does not impact other types of sensory impacts, like visual or smell. Other assets can provide this service and alteration of the service can be reversed naturally. There is medium uncertainty in the relationship."
Noise attenuation ,Water,G,"Shrublands & shrubby woodlands, Savannas and grasslands ",0,N,"Water is used in urban planning strategies for buffering of noise pollution through water structures such as water fountains. The service, in this type of strategy is sensitive to alterations in the provision of water. This asset is limited to noise attenuation and does not impact other types of sensory impacts, like visual or smell. Other assets can provide this service and alteration of the service can be reversed naturally. There is medium uncertainty in the relationship."
Noise attenuation ,Water,G,Desert and Semi-deserts ,0,N,"Water is used in urban planning strategies for buffering of noise pollution through water structures such as water fountains. The service, in this type of strategy is sensitive to alterations in the provision of water. This asset is limited to noise attenuation and does not impact other types of sensory impacts, like visual or smell. Other assets can provide this service and alteration of the service can be reversed naturally. There is medium uncertainty in the relationship."
Noise attenuation ,Water,G,Polar-Alpine ,0,N,"Water is used in urban planning strategies for buffering of noise pollution through water structures such as water fountains. The service, in this type of strategy is sensitive to alterations in the provision of water. This asset is limited to noise attenuation and does not impact other types of sensory impacts, like visual or smell. Other assets can provide this service and alteration of the service can be reversed naturally. There is medium uncertainty in the relationship."
Noise attenuation ,Water,G,Intensive Land Use Systems - Agriculture and Croplands ,0,N,"Water is used in urban planning strategies for buffering of noise pollution through water structures such as water fountains. The service, in this type of strategy is sensitive to alterations in the provision of water. This asset is limited to noise attenuation and does not impact other types of sensory impacts, like visual or smell. Other assets can provide this service and alteration of the service can be reversed naturally. There is medium uncertainty in the relationship."
Noise attenuation ,Water,G,Intensive Land Use Systems - Urban and Developed Area,1,Y,"Water is used in urban planning strategies for buffering of noise pollution through water structures such as water fountains. The service, in this type of strategy is sensitive to alterations in the provision of water. This asset is limited to noise attenuation and does not impact other types of sensory impacts, like visual or smell. Other assets can provide this service and alteration of the service can be reversed naturally. There is medium uncertainty in the relationship."
Noise attenuation ,Water,G,"Subterranean ecosystems (including Subterranean lithic systems, Subterranean freshwaters, Anthropogenic subterranean freshwaters and Subterranean tidal systems) ",0,N,"Water is used in urban planning strategies for buffering of noise pollution through water structures such as water fountains. The service, in this type of strategy is sensitive to alterations in the provision of water. This asset is limited to noise attenuation and does not impact other types of sensory impacts, like visual or smell. Other assets can provide this service and alteration of the service can be reversed naturally. There is medium uncertainty in the relationship."
Noise attenuation ,Water,G,Palustrine Wetlands ,0,N,"Water is used in urban planning strategies for buffering of noise pollution through water structures such as water fountains. The service, in this type of strategy is sensitive to alterations in the provision of water. This asset is limited to noise attenuation and does not impact other types of sensory impacts, like visual or smell. Other assets can provide this service and alteration of the service can be reversed naturally. There is medium uncertainty in the relationship."
Noise attenuation ,Water,G,"Artificial Freshwaters, Lakes, Rivers and streams ",0,N,"Water is used in urban planning strategies for buffering of noise pollution through water structures such as water fountains. The service, in this type of strategy is sensitive to alterations in the provision of water. This asset is limited to noise attenuation and does not impact other types of sensory impacts, like visual or smell. Other assets can provide this service and alteration of the service can be reversed naturally. There is medium uncertainty in the relationship."
Noise attenuation ,Water,G,Semi-confined transitional waters,0,N,"Water is used in urban planning strategies for buffering of noise pollution through water structures such as water fountains. The service, in this type of strategy is sensitive to alterations in the provision of water. This asset is limited to noise attenuation and does not impact other types of sensory impacts, like visual or smell. Other assets can provide this service and alteration of the service can be reversed naturally. There is medium uncertainty in the relationship."
Noise attenuation ,Water,G,Pelagic ocean waters and Deep Sea floors,0,N,"Water is used in urban planning strategies for buffering of noise pollution through water structures such as water fountains. The service, in this type of strategy is sensitive to alterations in the provision of water. This asset is limited to noise attenuation and does not impact other types of sensory impacts, like visual or smell. Other assets can provide this service and alteration of the service can be reversed naturally. There is medium uncertainty in the relationship."
Noise attenuation ,Water,G,Anthropogenic marine systems,0,N,"Water is used in urban planning strategies for buffering of noise pollution through water structures such as water fountains. The service, in this type of strategy is sensitive to alterations in the provision of water. This asset is limited to noise attenuation and does not impact other types of sensory impacts, like visual or smell. Other assets can provide this service and alteration of the service can be reversed naturally. There is medium uncertainty in the relationship."
Noise attenuation ,Water,G,Marine shelfs,0,N,"Water is used in urban planning strategies for buffering of noise pollution through water structures such as water fountains. The service, in this type of strategy is sensitive to alterations in the provision of water. This asset is limited to noise attenuation and does not impact other types of sensory impacts, like visual or smell. Other assets can provide this service and alteration of the service can be reversed naturally. There is medium uncertainty in the relationship."
Noise attenuation ,Water,G,Shoreline systems (including Anthropogenic shorelines) and supralittoral coastal systems,0,N,"Water is used in urban planning strategies for buffering of noise pollution through water structures such as water fountains. The service, in this type of strategy is sensitive to alterations in the provision of water. This asset is limited to noise attenuation and does not impact other types of sensory impacts, like visual or smell. Other assets can provide this service and alteration of the service can be reversed naturally. There is medium uncertainty in the relationship."
Noise attenuation ,Water,G,Brackish tidal systems ,0,N,"Water is used in urban planning strategies for buffering of noise pollution through water structures such as water fountains. The service, in this type of strategy is sensitive to alterations in the provision of water. This asset is limited to noise attenuation and does not impact other types of sensory impacts, like visual or smell. Other assets can provide this service and alteration of the service can be reversed naturally. There is medium uncertainty in the relationship."
Other regulating and maintenance service - Mediation of sensory impacts (other than noise),Atmosphere,A,Tropical-subtropical and Temperate-boreal forests and woodlands ,1,Y,Atmospheric elements such as rain and wind are important assets in regulating sensory impacts.
Other regulating and maintenance service - Mediation of sensory impacts (other than noise),Atmosphere,A,"Shrublands & shrubby woodlands, Savannas and grasslands ",1,Y,Atmospheric elements such as rain and wind are important assets in regulating sensory impacts.
Other regulating and maintenance service - Mediation of sensory impacts (other than noise),Atmosphere,A,Desert and Semi-deserts ,1,Y,Atmospheric elements such as rain and wind are important assets in regulating sensory impacts.
Other regulating and maintenance service - Mediation of sensory impacts (other than noise),Atmosphere,A,Polar-Alpine ,1,Y,Atmospheric elements such as rain and wind are important assets in regulating sensory impacts.
Other regulating and maintenance service - Mediation of sensory impacts (other than noise),Atmosphere,A,Intensive Land Use Systems - Agriculture and Croplands ,1,Y,Atmospheric elements such as rain and wind are important assets in regulating sensory impacts.
Other regulating and maintenance service - Mediation of sensory impacts (other than noise),Atmosphere,A,Intensive Land Use Systems - Urban and Developed Area,1,Y,Atmospheric elements such as rain and wind are important assets in regulating sensory impacts.
Other regulating and maintenance service - Mediation of sensory impacts (other than noise),Atmosphere,A,"Subterranean ecosystems (including Subterranean lithic systems, Subterranean freshwaters, Anthropogenic subterranean freshwaters and Subterranean tidal systems) ",0,N,Atmospheric elements such as rain and wind are important assets in regulating sensory impacts.
Other regulating and maintenance service - Mediation of sensory impacts (other than noise),Atmosphere,A,Palustrine Wetlands ,1,Y,Atmospheric elements such as rain and wind are important assets in regulating sensory impacts.
Other regulating and maintenance service - Mediation of sensory impacts (other than noise),Atmosphere,A,"Artificial Freshwaters, Lakes, Rivers and streams ",1,Y,Atmospheric elements such as rain and wind are important assets in regulating sensory impacts.
Other regulating and maintenance service - Mediation of sensory impacts (other than noise),Atmosphere,A,Semi-confined transitional waters,1,Y,Atmospheric elements such as rain and wind are important assets in regulating sensory impacts.
Other regulating and maintenance service - Mediation of sensory impacts (other than noise),Atmosphere,A,Pelagic ocean waters and Deep Sea floors,0,N,Atmospheric elements such as rain and wind are important assets in regulating sensory impacts.
Other regulating and maintenance service - Mediation of sensory impacts (other than noise),Atmosphere,A,Anthropogenic marine systems,1,Y,Atmospheric elements such as rain and wind are important assets in regulating sensory impacts.
Other regulating and maintenance service - Mediation of sensory impacts (other than noise),Atmosphere,A,Marine shelfs,0,N,Atmospheric elements such as rain and wind are important assets in regulating sensory impacts.
Other regulating and maintenance service - Mediation of sensory impacts (other than noise),Atmosphere,A,Shoreline systems (including Anthropogenic shorelines) and supralittoral coastal systems,1,Y,Atmospheric elements such as rain and wind are important assets in regulating sensory impacts.
Other regulating and maintenance service - Mediation of sensory impacts (other than noise),Atmosphere,A,Brackish tidal systems ,1,Y,Atmospheric elements such as rain and wind are important assets in regulating sensory impacts.
Other regulating and maintenance service - Mediation of sensory impacts (other than noise),Structural and Biotic Integrity,R,Tropical-subtropical and Temperate-boreal forests and woodlands ,1,Y,"Structural and biotic integrity of ecosystems supports function as barriers and buffers that mediate the impact of light, noise and smells."
Other regulating and maintenance service - Mediation of sensory impacts (other than noise),Structural and Biotic Integrity,R,"Shrublands & shrubby woodlands, Savannas and grasslands ",1,Y,"Structural and biotic integrity of ecosystems supports function as barriers and buffers that mediate the impact of light, noise and smells."
Other regulating and maintenance service - Mediation of sensory impacts (other than noise),Structural and Biotic Integrity,R,Desert and Semi-deserts ,1,Y,"Structural and biotic integrity of ecosystems supports function as barriers and buffers that mediate the impact of light, noise and smells."
Other regulating and maintenance service - Mediation of sensory impacts (other than noise),Structural and Biotic Integrity,R,Polar-Alpine ,1,Y,"Structural and biotic integrity of ecosystems supports function as barriers and buffers that mediate the impact of light, noise and smells."
Other regulating and maintenance service - Mediation of sensory impacts (other than noise),Structural and Biotic Integrity,R,Intensive Land Use Systems - Agriculture and Croplands ,1,Y,"Structural and biotic integrity of ecosystems supports function as barriers and buffers that mediate the impact of light, noise and smells."
Other regulating and maintenance service - Mediation of sensory impacts (other than noise),Structural and Biotic Integrity,R,Intensive Land Use Systems - Urban and Developed Area,1,Y,"Structural and biotic integrity of ecosystems supports function as barriers and buffers that mediate the impact of light, noise and smells."
Other regulating and maintenance service - Mediation of sensory impacts (other than noise),Structural and Biotic Integrity,R,"Subterranean ecosystems (including Subterranean lithic systems, Subterranean freshwaters, Anthropogenic subterranean freshwaters and Subterranean tidal systems) ",0,N,"Structural and biotic integrity of ecosystems supports function as barriers and buffers that mediate the impact of light, noise and smells."
Other regulating and maintenance service - Mediation of sensory impacts (other than noise),Structural and Biotic Integrity,R,Palustrine Wetlands ,1,Y,"Structural and biotic integrity of ecosystems supports function as barriers and buffers that mediate the impact of light, noise and smells."
Other regulating and maintenance service - Mediation of sensory impacts (other than noise),Structural and Biotic Integrity,R,"Artificial Freshwaters, Lakes, Rivers and streams ",1,Y,"Structural and biotic integrity of ecosystems supports function as barriers and buffers that mediate the impact of light, noise and smells."
Other regulating and maintenance service - Mediation of sensory impacts (other than noise),Structural and Biotic Integrity,R,Semi-confined transitional waters,0,N,"Structural and biotic integrity of ecosystems supports function as barriers and buffers that mediate the impact of light, noise and smells."
Other regulating and maintenance service - Mediation of sensory impacts (other than noise),Structural and Biotic Integrity,R,Pelagic ocean waters and Deep Sea floors,0,N,"Structural and biotic integrity of ecosystems supports function as barriers and buffers that mediate the impact of light, noise and smells."
Other regulating and maintenance service - Mediation of sensory impacts (other than noise),Structural and Biotic Integrity,R,Anthropogenic marine systems,0,N,"Structural and biotic integrity of ecosystems supports function as barriers and buffers that mediate the impact of light, noise and smells."
Other regulating and maintenance service - Mediation of sensory impacts (other than noise),Structural and Biotic Integrity,R,Marine shelfs,0,N,"Structural and biotic integrity of ecosystems supports function as barriers and buffers that mediate the impact of light, noise and smells."
Other regulating and maintenance service - Mediation of sensory impacts (other than noise),Structural and Biotic Integrity,R,Shoreline systems (including Anthropogenic shorelines) and supralittoral coastal systems,1,Y,"Structural and biotic integrity of ecosystems supports function as barriers and buffers that mediate the impact of light, noise and smells."
Other regulating and maintenance service - Mediation of sensory impacts (other than noise),Structural and Biotic Integrity,R,Brackish tidal systems ,1,Y,"Structural and biotic integrity of ecosystems supports function as barriers and buffers that mediate the impact of light, noise and smells."
Other regulating and maintenance service - Mediation of sensory impacts (other than noise),Species,R,Tropical-subtropical and Temperate-boreal forests and woodlands ,1,Y,"Vegetation is the main natural barrier used to reduce noise and light pollution and is key in reducing air pollution, including smells. "
Other regulating and maintenance service - Mediation of sensory impacts (other than noise),Species,R,"Shrublands & shrubby woodlands, Savannas and grasslands ",1,Y,"Vegetation is the main natural barrier used to reduce noise and light pollution and is key in reducing air pollution, including smells. "
Other regulating and maintenance service - Mediation of sensory impacts (other than noise),Species,R,Desert and Semi-deserts ,1,Y,"Vegetation is the main natural barrier used to reduce noise and light pollution and is key in reducing air pollution, including smells. "
Other regulating and maintenance service - Mediation of sensory impacts (other than noise),Species,R,Polar-Alpine ,1,Y,"Vegetation is the main natural barrier used to reduce noise and light pollution and is key in reducing air pollution, including smells. "
Other regulating and maintenance service - Mediation of sensory impacts (other than noise),Species,R,Intensive Land Use Systems - Agriculture and Croplands ,1,Y,"Vegetation is the main natural barrier used to reduce noise and light pollution and is key in reducing air pollution, including smells. "
Other regulating and maintenance service - Mediation of sensory impacts (other than noise),Species,R,Intensive Land Use Systems - Urban and Developed Area,1,Y,"Vegetation is the main natural barrier used to reduce noise and light pollution and is key in reducing air pollution, including smells. "
Other regulating and maintenance service - Mediation of sensory impacts (other than noise),Species,R,"Subterranean ecosystems (including Subterranean lithic systems, Subterranean freshwaters, Anthropogenic subterranean freshwaters and Subterranean tidal systems) ",0,N,"Vegetation is the main natural barrier used to reduce noise and light pollution and is key in reducing air pollution, including smells. "
Other regulating and maintenance service - Mediation of sensory impacts (other than noise),Species,R,Palustrine Wetlands ,1,Y,"Vegetation is the main natural barrier used to reduce noise and light pollution and is key in reducing air pollution, including smells. "
Other regulating and maintenance service - Mediation of sensory impacts (other than noise),Species,R,"Artificial Freshwaters, Lakes, Rivers and streams ",1,Y,"Vegetation is the main natural barrier used to reduce noise and light pollution and is key in reducing air pollution, including smells. "
Other regulating and maintenance service - Mediation of sensory impacts (other than noise),Species,R,Semi-confined transitional waters,0,N,"Vegetation is the main natural barrier used to reduce noise and light pollution and is key in reducing air pollution, including smells. "
Other regulating and maintenance service - Mediation of sensory impacts (other than noise),Species,R,Pelagic ocean waters and Deep Sea floors,0,N,"Vegetation is the main natural barrier used to reduce noise and light pollution and is key in reducing air pollution, including smells. "
Other regulating and maintenance service - Mediation of sensory impacts (other than noise),Species,R,Anthropogenic marine systems,0,N,"Vegetation is the main natural barrier used to reduce noise and light pollution and is key in reducing air pollution, including smells. "
Other regulating and maintenance service - Mediation of sensory impacts (other than noise),Species,R,Marine shelfs,0,N,"Vegetation is the main natural barrier used to reduce noise and light pollution and is key in reducing air pollution, including smells. "
Other regulating and maintenance service - Mediation of sensory impacts (other than noise),Species,R,Shoreline systems (including Anthropogenic shorelines) and supralittoral coastal systems,1,Y,"Vegetation is the main natural barrier used to reduce noise and light pollution and is key in reducing air pollution, including smells. "
Other regulating and maintenance service - Mediation of sensory impacts (other than noise),Species,R,Brackish tidal systems ,1,Y,"Vegetation is the main natural barrier used to reduce noise and light pollution and is key in reducing air pollution, including smells. "
Other regulating and maintenance service - Mediation of sensory impacts (other than noise),Water,G,Tropical-subtropical and Temperate-boreal forests and woodlands ,0,N,"Water is used in urban planning strategies for buffering of noise pollution through water structures such as water fountains. The service, in this type of strategy is sensitive to alterations in the provision of water. This asset is limited to noise attenuation and does not impact other types of sensory impacts, like visual or smell. Other assets can provide this service and alteration of the service can be reversed naturally. There is medium uncertainty in the relationship."
Other regulating and maintenance service - Mediation of sensory impacts (other than noise),Water,G,"Shrublands & shrubby woodlands, Savannas and grasslands ",0,N,"Water is used in urban planning strategies for buffering of noise pollution through water structures such as water fountains. The service, in this type of strategy is sensitive to alterations in the provision of water. This asset is limited to noise attenuation and does not impact other types of sensory impacts, like visual or smell. Other assets can provide this service and alteration of the service can be reversed naturally. There is medium uncertainty in the relationship."
Other regulating and maintenance service - Mediation of sensory impacts (other than noise),Water,G,Desert and Semi-deserts ,0,N,"Water is used in urban planning strategies for buffering of noise pollution through water structures such as water fountains. The service, in this type of strategy is sensitive to alterations in the provision of water. This asset is limited to noise attenuation and does not impact other types of sensory impacts, like visual or smell. Other assets can provide this service and alteration of the service can be reversed naturally. There is medium uncertainty in the relationship."
Other regulating and maintenance service - Mediation of sensory impacts (other than noise),Water,G,Polar-Alpine ,0,N,"Water is used in urban planning strategies for buffering of noise pollution through water structures such as water fountains. The service, in this type of strategy is sensitive to alterations in the provision of water. This asset is limited to noise attenuation and does not impact other types of sensory impacts, like visual or smell. Other assets can provide this service and alteration of the service can be reversed naturally. There is medium uncertainty in the relationship."
Other regulating and maintenance service - Mediation of sensory impacts (other than noise),Water,G,Intensive Land Use Systems - Agriculture and Croplands ,0,N,"Water is used in urban planning strategies for buffering of noise pollution through water structures such as water fountains. The service, in this type of strategy is sensitive to alterations in the provision of water. This asset is limited to noise attenuation and does not impact other types of sensory impacts, like visual or smell. Other assets can provide this service and alteration of the service can be reversed naturally. There is medium uncertainty in the relationship."
Other regulating and maintenance service - Mediation of sensory impacts (other than noise),Water,G,Intensive Land Use Systems - Urban and Developed Area,1,Y,"Water is used in urban planning strategies for buffering of noise pollution through water structures such as water fountains. The service, in this type of strategy is sensitive to alterations in the provision of water. This asset is limited to noise attenuation and does not impact other types of sensory impacts, like visual or smell. Other assets can provide this service and alteration of the service can be reversed naturally. There is medium uncertainty in the relationship."
Other regulating and maintenance service - Mediation of sensory impacts (other than noise),Water,G,"Subterranean ecosystems (including Subterranean lithic systems, Subterranean freshwaters, Anthropogenic subterranean freshwaters and Subterranean tidal systems) ",0,N,"Water is used in urban planning strategies for buffering of noise pollution through water structures such as water fountains. The service, in this type of strategy is sensitive to alterations in the provision of water. This asset is limited to noise attenuation and does not impact other types of sensory impacts, like visual or smell. Other assets can provide this service and alteration of the service can be reversed naturally. There is medium uncertainty in the relationship."
Other regulating and maintenance service - Mediation of sensory impacts (other than noise),Water,G,Palustrine Wetlands ,0,N,"Water is used in urban planning strategies for buffering of noise pollution through water structures such as water fountains. The service, in this type of strategy is sensitive to alterations in the provision of water. This asset is limited to noise attenuation and does not impact other types of sensory impacts, like visual or smell. Other assets can provide this service and alteration of the service can be reversed naturally. There is medium uncertainty in the relationship."
Other regulating and maintenance service - Mediation of sensory impacts (other than noise),Water,G,"Artificial Freshwaters, Lakes, Rivers and streams ",0,N,"Water is used in urban planning strategies for buffering of noise pollution through water structures such as water fountains. The service, in this type of strategy is sensitive to alterations in the provision of water. This asset is limited to noise attenuation and does not impact other types of sensory impacts, like visual or smell. Other assets can provide this service and alteration of the service can be reversed naturally. There is medium uncertainty in the relationship."
Other regulating and maintenance service - Mediation of sensory impacts (other than noise),Water,G,Semi-confined transitional waters,0,N,"Water is used in urban planning strategies for buffering of noise pollution through water structures such as water fountains. The service, in this type of strategy is sensitive to alterations in the provision of water. This asset is limited to noise attenuation and does not impact other types of sensory impacts, like visual or smell. Other assets can provide this service and alteration of the service can be reversed naturally. There is medium uncertainty in the relationship."
Other regulating and maintenance service - Mediation of sensory impacts (other than noise),Water,G,Pelagic ocean waters and Deep Sea floors,0,N,"Water is used in urban planning strategies for buffering of noise pollution through water structures such as water fountains. The service, in this type of strategy is sensitive to alterations in the provision of water. This asset is limited to noise attenuation and does not impact other types of sensory impacts, like visual or smell. Other assets can provide this service and alteration of the service can be reversed naturally. There is medium uncertainty in the relationship."
Other regulating and maintenance service - Mediation of sensory impacts (other than noise),Water,G,Anthropogenic marine systems,0,N,"Water is used in urban planning strategies for buffering of noise pollution through water structures such as water fountains. The service, in this type of strategy is sensitive to alterations in the provision of water. This asset is limited to noise attenuation and does not impact other types of sensory impacts, like visual or smell. Other assets can provide this service and alteration of the service can be reversed naturally. There is medium uncertainty in the relationship."
Other regulating and maintenance service - Mediation of sensory impacts (other than noise),Water,G,Marine shelfs,0,N,"Water is used in urban planning strategies for buffering of noise pollution through water structures such as water fountains. The service, in this type of strategy is sensitive to alterations in the provision of water. This asset is limited to noise attenuation and does not impact other types of sensory impacts, like visual or smell. Other assets can provide this service and alteration of the service can be reversed naturally. There is medium uncertainty in the relationship."
