,Economic activity ,,,,,Pressures,,,,,,,,,,,,,
Q_87_879,Human health and social work activities,Residential care activities,Other residential care activities,,Group,Other residential care activities can cause disturbances such as moderate levels of light and noise pollution from operational activities involving medical equipment that can disrupt or negatively affect species populations.,N/A,"Other residential care activities using facilities with backup power generators can release greenhouse gases emissions from energy use for the heating, cooling and lighting the facilities and running equipments, contributing to air pollution.",N/A,"Residential care activities conducted in office buildings or facility buildings can release non-greenhouse gas air pollutants, such as CFCs, HCFCs, and HFCs, through the use of cooling, refrigeration, or insulation materials.",N/A,N/A,"Minerals, metals, medicines, contaminated dressing and other fibres waste used in residential care activities can dissolve and leach into the soil and generate toxic wastewater, which leads to soil pollution and contamination of receiving water bodies. Additionally, residential care facilities and their activities can generate toxic wastewater that can contaminate receiving water bodies. ",ND,Solid waste including single use consumables such as cotton and syringes and other non-recyclable materials are produced by other residential care facilities. This can lead to habitat degradation from disposal of litter or soil and water pollution.,Area of residential care facilities.,"Residential buildings require large volumes of water for a variety of purposes such as restrooms, heating and cooling, and landscaping. In some instances the water is extracted directly from local water bodies (e.g. server farms associated with cloud facilities).",Biological and other types of waste matter coming from other residential care activities can introduce infectious micro-organisms. ,"https://onlinelibrary.wiley.com/doi/full/10.1046/j.1365-2648.2000.01307.x ; https://jpoll.ut.ac.ir/article_76558.html ; https://journals.sagepub.com/doi/pdf/10.1177/0734242X09356017 ; https://www.tandfonline.com/doi/abs/10.1080/10406026.2019.1619265 ; https://www.sciencedirect.com/science/article/pii/S0269749123000829?via%3Dihub ; https://www.sciencedirect.com/science/article/pii/S2213398421000191 ; https://www.sciencedirect.com/science/article/pii/S0255085721000335?via%3Dihub ; https://www.sciencedirect.com/science/article/pii/S2405844021004485 ; https://www.sciencedirect.com/science/article/pii/S2352801X2200145X?via%3Dihub ; https://www.sciencedirect.com/science/article/abs/pii/B9780123946263000223?via%3Dihub ; https://www.sciencedirect.com/science/article/pii/S2590123022003413 ; https://www.sciencedirect.com/science/article/pii/S0956053X08004182?via%3Dihub ; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7767609/ ; https://www.mdpi.com/1996-1073/10/4/479 ; https://www.sciencedirect.com/science/article/pii/S1877050914012745 ; https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0157014 ; https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0157014 ; https://link.springer.com/article/10.1007/S10163-015-0355-1 ; https://www.sciencedirect.com/science/article/pii/S037877881100524X ; https://www.sciencedirect.com/science/article/pii/S0959652614002467 ; https://www.boots-uk.com/environmental-social-governance/what-we-do/progressing-our-sustainable-bootprint/ ; http://www.boots-uk.com/media/3852/boots_uk_csr_performance2015-16-1.pdf ; https://www.ipsos.com/sites/default/files/publication/1970-01/reputation-sustainability-issues-in-the-retail-sector-2008.pdf ; https://corporate.homedepot.com/responsibility/operations ; http://ec.europa.eu/environment/industry/retail/pdf/issue_paper_optimisation.pdf ; http://www.ghgprotocol.org/sites/default/files/ghgp/standards/Corporate-Value-Chain-Accounting-Reporing-Standard_041613_2.pdf ; https://www.sciencedirect.com/science/article/pii/S1361920916303947#b0315 ; https://www.researchgate.net/publication/356421007_Urban_Travel_Behavior_and_Socio-Spatial_Issues_in_the_Mena_Region_What_Do_We_Know ; https://corporate.ford.com/content/dam/corporate/us/en-us/documents/reports/2023-integrated-sustainability-and-financial-report.pdf ; https://www.microsoft.com/en-us/about/corporate-responsibility/environmental-sustainability ; https://www.sciencedirect.com/science/article/pii/S0378778810001696 ; https://www.sciencedirect.com/science/article/pii/S1309104218302824?via%3Dihub https://www.annualreviews.org/doi/abs/10.1146/annurev-environ-012220-034103
http://ijee.ieefoundation.org/vol2/issue3/IJEE_03_v2n3.pdf;"
Q_86_861,Human health and social work activities,Human health activities,Hospital activities,,Group,Hospital activities can cause disturbances such as moderate levels of light and noise pollution from operational activities involving medical equipment that can disrupt or negatively affect species populations.,N/A,"Hospital activities can release greenhouse gases emissions from anaesthetic gases and metered dose inhalers, and backup power generators for running equipments and facilities, contributing to air pollution.",N/A,Gaseous waste and discharges from health care facilities contribute to environmental pollution. Backup power generators for running equipments can emit non-GHGs.,N/A,N/A,"Minerals, metals, medicines, contaminated dressing and other fibres and biomedical waste used in hospital activities can dissolve and leach into the soil and generate toxic wastewater, which leads to soil pollution and contamination of receiving water bodies. Additionally, hospital facilities and their activities can generate toxic wastewater that can contaminate receiving water bodies. ",ND,"Hospital activities generate large volumes of solid waste, which contribute to municipal waste. The exact form of waste will vary but include on-product outputs such as single use consumables, cotton and syringes, other non-recyclable materials and biomedical waste. Solid waste treatment and disposal can lead to habitat degradation and land contamination.",Hospitals and medical laboratories occupy land.,"Water is used in a variety of hospital activities, including cleaning and disinfecting, patient care, food preparation, laundry and wastewater treatment.",Biological and other types of waste matter can introduce infectious micro-organisms. ,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0157014 ; https://link.springer.com/article/10.1007/S10163-015-0355-1 ; https://www.sciencedirect.com/science/article/pii/S037877881100524X ; https://www.sciencedirect.com/science/article/pii/S0959652614002467 ; https://www.boots-uk.com/environmental-social-governance/what-we-do/progressing-our-sustainable-bootprint/ ; http://www.boots-uk.com/media/3852/boots_uk_csr_performance2015-16-1.pdf ; https://www.ipsos.com/sites/default/files/publication/1970-01/reputation-sustainability-issues-in-the-retail-sector-2008.pdf ; https://corporate.homedepot.com/responsibility/operations ; http://ec.europa.eu/environment/industry/retail/pdf/issue_paper_optimisation.pdf ; http://www.ghgprotocol.org/sites/default/files/ghgp/standards/Corporate-Value-Chain-Accounting-Reporing-Standard_041613_2.pdf ; https://www.sciencedirect.com/science/article/pii/S1361920916303947#b0315 ; https://www.researchgate.net/publication/356421007_Urban_Travel_Behavior_and_Socio-Spatial_Issues_in_the_Mena_Region_What_Do_We_Know ; https://corporate.ford.com/content/dam/corporate/us/en-us/documents/reports/2023-integrated-sustainability-and-financial-report.pdf ; https://www.microsoft.com/en-us/about/corporate-responsibility/environmental-sustainability ; https://www.sciencedirect.com/science/article/pii/S0378778810001696
Q_87_872,Human health and social work activities,Residential care activities,"Residential care activities for mental retardation, mental health and substance abuse",,Group,"Residential care activities for mental retardation, mental health and substance abuse can cause disturbances such as moderate levels of light and noise pollution from operational activities involving medical equipment that can disrupt or negatively affect species populations.",N/A,"Residential care activities for mental retardation, mental health and substance abuse activities can release greenhouse gases emissions from anaesthetic gases and metered dose inhalers, and backup power generators for running equipments and facilities, contributing to air pollution.",N/A,Gaseous waste and discharges from residential care facilities contribute to environmental pollution. Backup power generators for running equipments can emit non-GHGs.,N/A,N/A,"Minerals, metals, medicines, contaminated dressing and other fibres used in residential care activities can dissolve and leach into the soil and generate toxic wastewater, which leads to soil pollution and contamination of receiving water bodies. Additionally, residential care facilities and their activities can generate toxic wastewater that can contaminate receiving water bodies. ",ND,"Residential care activities generate large volumes of solid waste, which contribute to municipal waste. The exact form of waste will vary but include on-product outputs such as single use consumables, cotton and syringes, other non-recyclable materials and biomedical waste. Solid waste treatment and disposal can lead to habitat degradation and land contamination.","Facilities for mental retardation, mental health and substance abuse occupy land.","Water is used in a variety of residential care activities, including cleaning and disinfecting, patient care, food preparation, laundry and wastewater treatment.",N/A,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0157014 ; https://link.springer.com/article/10.1007/S10163-015-0355-1 ; https://www.sciencedirect.com/science/article/pii/S037877881100524X ; https://www.sciencedirect.com/science/article/pii/S0959652614002467 ; https://www.boots-uk.com/environmental-social-governance/what-we-do/progressing-our-sustainable-bootprint/ ; http://www.boots-uk.com/media/3852/boots_uk_csr_performance2015-16-1.pdf ; https://www.ipsos.com/sites/default/files/publication/1970-01/reputation-sustainability-issues-in-the-retail-sector-2008.pdf ; https://corporate.homedepot.com/responsibility/operations ; http://ec.europa.eu/environment/industry/retail/pdf/issue_paper_optimisation.pdf ; http://www.ghgprotocol.org/sites/default/files/ghgp/standards/Corporate-Value-Chain-Accounting-Reporing-Standard_041613_2.pdf ; https://www.sciencedirect.com/science/article/pii/S1361920916303947#b0315 ; https://www.researchgate.net/publication/356421007_Urban_Travel_Behavior_and_Socio-Spatial_Issues_in_the_Mena_Region_What_Do_We_Know ; https://corporate.ford.com/content/dam/corporate/us/en-us/documents/reports/2023-integrated-sustainability-and-financial-report.pdf ; https://www.microsoft.com/en-us/about/corporate-responsibility/environmental-sustainability ; https://www.sciencedirect.com/science/article/pii/S0378778810001696
Q_87_873,Human health and social work activities,Residential care activities,Residential care activities for the elderly and disabled,,Group,Residential care activities for the elderly and disabled can cause disturbances such as moderate levels of light and noise pollution from operational activities involving medical equipment that can disrupt or negatively affect species populations.,N/A,"Residential care activities for the elderly and disabled activities can release greenhouse gases emissions from backup power generators for running equipments and facilities, contributing to air pollution.",N/A,Gaseous waste and discharges from residential care facilities contribute to environmental pollution. Backup power generators for running equipments can emit non-GHGs.,N/A,N/A,"Minerals, metals, medicines, contaminated dressing and other fibres used in residential care activities can dissolve and leach into the soil and generate toxic wastewater, which leads to soil pollution and contamination of receiving water bodies. Additionally, residential care facilities and their activities can generate toxic wastewater that can contaminate receiving water bodies. ",ND,"Residential care activities generate large volumes of solid waste, which contribute to municipal waste. The exact form of waste will vary but include on-product outputs such as single use consumables, cotton and syringes, other non-recyclable materials and biomedical waste. Solid waste treatment and disposal can lead to habitat degradation and land contamination.",Facilities for the elderly and disabled occupy land.,"Water is used in a variety of residential care activities, including cleaning and disinfecting, patient care, food preparation, laundry and wastewater treatment.",N/A,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0157014 ; https://link.springer.com/article/10.1007/S10163-015-0355-1 ; https://www.sciencedirect.com/science/article/pii/S037877881100524X ; https://www.sciencedirect.com/science/article/pii/S0959652614002467 ; https://www.boots-uk.com/environmental-social-governance/what-we-do/progressing-our-sustainable-bootprint/ ; http://www.boots-uk.com/media/3852/boots_uk_csr_performance2015-16-1.pdf ; https://www.ipsos.com/sites/default/files/publication/1970-01/reputation-sustainability-issues-in-the-retail-sector-2008.pdf ; https://corporate.homedepot.com/responsibility/operations ; http://ec.europa.eu/environment/industry/retail/pdf/issue_paper_optimisation.pdf ; http://www.ghgprotocol.org/sites/default/files/ghgp/standards/Corporate-Value-Chain-Accounting-Reporing-Standard_041613_2.pdf ; https://www.sciencedirect.com/science/article/pii/S1361920916303947#b0315 ; https://www.researchgate.net/publication/356421007_Urban_Travel_Behavior_and_Socio-Spatial_Issues_in_the_Mena_Region_What_Do_We_Know ; https://corporate.ford.com/content/dam/corporate/us/en-us/documents/reports/2023-integrated-sustainability-and-financial-report.pdf ; https://www.microsoft.com/en-us/about/corporate-responsibility/environmental-sustainability ; https://www.sciencedirect.com/science/article/pii/S0378778810001696
Q_87_871,Human health and social work activities,Residential care activities,Residential nursing care facilities,,Group,Residential nursing care facilities can cause disturbances such as moderate levels of light and noise pollution from operational activities involving medical equipment that can disrupt or negatively affect species populations.,N/A,"Residential nursing care facilities can release greenhouse gases emissions from backup power generators for running equipments (e.g. metered dose inhalers) and facilities, contributing to air pollution.",N/A,Gaseous waste and discharges from residential nursing care facilities contribute to environmental pollution. Backup power generators for running equipments can emit non-GHGs.,N/A,N/A,"Minerals, metals, medicines, contaminated dressing and other fibres used in residential care activities can dissolve and leach into the soil and generate toxic wastewater, which leads to soil pollution and contamination of receiving water bodies. Additionally, residential care facilities and their activities can generate toxic wastewater that can contaminate receiving water bodies. ",ND,"Residential care activities generate large volumes of solid waste, which contribute to municipal waste. The exact form of waste will vary but include on-product outputs such as single use consumables, cotton and syringes, other non-recyclable materials and biomedical waste. Solid waste treatment and disposal can lead to habitat degradation and land contamination.",Facilities for nursing care occupy land.,"Water is used in a variety of residential care activities, including cleaning and disinfecting, patient care, food preparation, laundry and wastewater treatment.",N/A,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0157014 ; https://link.springer.com/article/10.1007/S10163-015-0355-1 ; https://www.sciencedirect.com/science/article/pii/S037877881100524X ; https://www.sciencedirect.com/science/article/pii/S0959652614002467 ; https://www.boots-uk.com/environmental-social-governance/what-we-do/progressing-our-sustainable-bootprint/ ; http://www.boots-uk.com/media/3852/boots_uk_csr_performance2015-16-1.pdf ; https://www.ipsos.com/sites/default/files/publication/1970-01/reputation-sustainability-issues-in-the-retail-sector-2008.pdf ; https://corporate.homedepot.com/responsibility/operations ; http://ec.europa.eu/environment/industry/retail/pdf/issue_paper_optimisation.pdf ; http://www.ghgprotocol.org/sites/default/files/ghgp/standards/Corporate-Value-Chain-Accounting-Reporing-Standard_041613_2.pdf ; https://www.sciencedirect.com/science/article/pii/S1361920916303947#b0315 ; https://www.researchgate.net/publication/356421007_Urban_Travel_Behavior_and_Socio-Spatial_Issues_in_the_Mena_Region_What_Do_We_Know ; https://corporate.ford.com/content/dam/corporate/us/en-us/documents/reports/2023-integrated-sustainability-and-financial-report.pdf ; https://www.microsoft.com/en-us/about/corporate-responsibility/environmental-sustainability ; https://www.sciencedirect.com/science/article/pii/S0378778810001696
Q_88_881,Human health and social work activities,Social work activities without accommodation,Social work activities without accommodation for the elderly and disabled,,Group,Social work activities without accommodation for the elderly and disabled can cause disturbances such as low levels during outdoor activities that can disrupt or negatively affect species populations.,N/A,"Social work activities using facilities with backup power generators can release greenhouse gases emissions from energy use for the heating, cooling and lighting the facilities and running equipments, contributing to air pollution.",N/A,"Social work activities conducted from an office building can contribute to non-GHG emissions such as halocarbons, CFCs, HCFCs, and hydrofluorocarbons (HFCs), due to their applications for cooling, refrigeration, and in the case of halocarbons, insulation materials.  ",N/A,N/A,"Minerals, metals, medicines, contaminated dressing and other fibres used in social work activities can dissolve and leach into the soil and generate toxic wastewater, which leads to soil pollution and contamination of receiving water bodies.",ND,"Social care activities generate large volumes of solid waste, which contribute to municipal waste. The exact form of waste will vary but include on-product outputs such as single use consumables, cotton and syringes, other non-recyclable materials and biomedical waste. Solid waste treatment and disposal can lead to habitat degradation and land contamination.",Facilities for social work activities occupy land.,"Water is used in a variety of social work activities, including cleaning and disinfecting, patient care, food preparation, laundry and wastewater treatment.",N/A,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0157014 ; https://link.springer.com/article/10.1007/S10163-015-0355-1 ; https://www.sciencedirect.com/science/article/pii/S037877881100524X ; https://www.sciencedirect.com/science/article/pii/S0959652614002467 ; https://www.boots-uk.com/environmental-social-governance/what-we-do/progressing-our-sustainable-bootprint/ ; http://www.boots-uk.com/media/3852/boots_uk_csr_performance2015-16-1.pdf ; https://www.ipsos.com/sites/default/files/publication/1970-01/reputation-sustainability-issues-in-the-retail-sector-2008.pdf ; https://corporate.homedepot.com/responsibility/operations ; http://ec.europa.eu/environment/industry/retail/pdf/issue_paper_optimisation.pdf ; http://www.ghgprotocol.org/sites/default/files/ghgp/standards/Corporate-Value-Chain-Accounting-Reporing-Standard_041613_2.pdf ; https://www.sciencedirect.com/science/article/pii/S1361920916303947#b0315 ; https://www.researchgate.net/publication/356421007_Urban_Travel_Behavior_and_Socio-Spatial_Issues_in_the_Mena_Region_What_Do_We_Know ; https://corporate.ford.com/content/dam/corporate/us/en-us/documents/reports/2023-integrated-sustainability-and-financial-report.pdf ; https://www.microsoft.com/en-us/about/corporate-responsibility/environmental-sustainability ; https://www.sciencedirect.com/science/article/pii/S0378778810001696; https://www.sciencedirect.com/science/article/abs/pii/S1359431106000196#bib3
Q_88_889,Human health and social work activities,Social work activities without accommodation,Other social work activities without accommodation,,Group,Other social work activities without accommodation can cause disturbances such as low levels during outdoor activities that can disrupt or negatively affect species populations.,N/A,"Social work activities using facilities with backup power generators can release greenhouse gases emissions from energy use for the heating, cooling and lighting the facilities and running equipments, contributing to air pollution.",N/A,"Social work activities conducted from an office building can contribute to non-GHG emissions such as halocarbons, CFCs, HCFCs, and hydrofluorocarbons (HFCs), due to their applications for cooling, refrigeration, and in the case of halocarbons, insulation materials.  ",N/A,N/A,"Minerals, metals, medicines, contaminated dressing and other fibres used in social work activities can dissolve and leach into the soil and generate toxic wastewater, which leads to soil pollution and contamination of receiving water bodies.",ND,"Office buildings associated with service provision can generate solid waste. The exact types of solid waste produced will vary, but these can include non-product outputs such as glass, metal, plastic, paper and cardboard, wood, and rubber and leather.",If the organisation has offices and/or service centres they will occupy an area of land. ,"Office buildings require large volumes of water for a variety of purposes such as restrooms, heating and cooling, and landscaping. ",N/A,https://onlinelibrary.wiley.com/doi/full/10.1046/j.1365-2648.2000.01307.x ; https://jpoll.ut.ac.ir/article_76558.html ; https://journals.sagepub.com/doi/pdf/10.1177/0734242X09356017 ; https://www.tandfonline.com/doi/abs/10.1080/10406026.2019.1619265 ; https://www.sciencedirect.com/science/article/pii/S0269749123000829?via%3Dihub ; https://www.sciencedirect.com/science/article/pii/S2213398421000191 ; https://www.sciencedirect.com/science/article/pii/S0255085721000335?via%3Dihub ; https://www.sciencedirect.com/science/article/pii/S2405844021004485 ; https://www.sciencedirect.com/science/article/pii/S2352801X2200145X?via%3Dihub ; https://www.sciencedirect.com/science/article/abs/pii/B9780123946263000223?via%3Dihub ; https://www.sciencedirect.com/science/article/pii/S2590123022003413 ; https://www.sciencedirect.com/science/article/pii/S0956053X08004182?via%3Dihub ; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7767609/ ; https://www.mdpi.com/1996-1073/10/4/479 ; https://www.sciencedirect.com/science/article/pii/S1877050914012745 ; https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0157014 ; https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0157014 ; https://link.springer.com/article/10.1007/S10163-015-0355-1 ; https://www.sciencedirect.com/science/article/pii/S037877881100524X ; https://www.sciencedirect.com/science/article/pii/S0959652614002467 ; https://www.boots-uk.com/environmental-social-governance/what-we-do/progressing-our-sustainable-bootprint/ ; http://www.boots-uk.com/media/3852/boots_uk_csr_performance2015-16-1.pdf ; https://www.ipsos.com/sites/default/files/publication/1970-01/reputation-sustainability-issues-in-the-retail-sector-2008.pdf ; https://corporate.homedepot.com/responsibility/operations ; http://ec.europa.eu/environment/industry/retail/pdf/issue_paper_optimisation.pdf ; http://www.ghgprotocol.org/sites/default/files/ghgp/standards/Corporate-Value-Chain-Accounting-Reporing-Standard_041613_2.pdf ; https://www.sciencedirect.com/science/article/pii/S1361920916303947#b0315 ; https://www.researchgate.net/publication/356421007_Urban_Travel_Behavior_and_Socio-Spatial_Issues_in_the_Mena_Region_What_Do_We_Know ; https://corporate.ford.com/content/dam/corporate/us/en-us/documents/reports/2023-integrated-sustainability-and-financial-report.pdf ; https://www.microsoft.com/en-us/about/corporate-responsibility/environmental-sustainability ; https://www.sciencedirect.com/science/article/pii/S0378778810001696 ; https://www.sciencedirect.com/science/article/pii/S1309104218302824?via%3Dihub; https://www.sciencedirect.com/science/article/abs/pii/S1359431106000196#bib3
R_93_931,"Arts, entertainment and recreation",Sports activities and amusement and recreation activities,Sports activities,,Group,"Sports activities can cause disturbances such as noise and light pollution from spectators, instruments and facilities such as sports stadiums and sports involving ATVs, motorcycles and snowmobiles, that can disrupt or negatively affect species populations.","Freshwater sports activities including kayaking and canoing, can lead to the use of anchorages in freshwater areas, which can cause physical damage, especially in sensitive ecosystems such as mangroves.","Sports activities can release emissions of greenhouse gases emissions during sporting tournaments and events, participants training, competitions, day trips, and through energy use to maintain facilities, contributing to air pollution.","Marine sports activities including competitive sailing, and motorboating, can lead to the use of anchorages and marinas in coastal and marine areas. Anchoring and marinas can cause physical damage to the seabed, especially in sensitive ecosystems such as seagrass beds or coral reefs.","Non-GHG emissions can be released during sports activities as sporting tournaments and events, participants training, competitions, day trips, equipment and facilities.","Some sports activities require biotic resources, an example of such sport is falconry, which involves trained birds of prey to hunt wild game. Falconry dependents on live prey for the birds to hunt, such as rabbits, hares, and small game birds, which can lead to an environment impact.",N/A,"The waste generated in some sports activities such as marathons, cycling races, and sporting tournaments and events can lead to soil and water pollution. For instance, water sports may require the use of chemicals to clean, protect, and run boats or motorboats. These chemicals (e.g. zinc) can deteriorate the pH level of water which affects marine wildlife.",N/A,"Sports activities such as marathons, cycling races, and sporting tournaments and events can generate large amounts of solid waste, including food and beverage containers, packaging, and promotional materials. ",Some sports activities can take up a large amount of land which may lead to deforestation and habitat fragmentation.,"Water is required for athletes hydration to maintain their performance and avoid heat exhaustion and dehydration. Some sports activities such as football, rugby, and field hockey also require regular watering to maintain the quality of the playing surface. Water is also required for sanitation, cleaning and maintenance of facilities, arenas and stadiums. ",N/A,"https://exclusive.multibriefs.com/content/noise-an-invisible-danger-in-sports-and-recreation/recreation-leisure
https://www.bahria.edu.pk/buic/law/wp-content/uploads/2021/10/Sports-Arenas-and-Noise-Pollution-A-Critical-Analysis-of-Bringing-Class-Actions-against-the-Nuisance.pdf
https://nyaspubs.onlinelibrary.wiley.com/doi/full/10.1111/nyas.14925
https://bioone.org/journals/journal-of-coastal-research/volume-104/issue-sp1/JCR-SI104-020.1/The-Social-Benefits-of-Water-Sports-Events-and-Their-Impact/10.2112/JCR-SI104-020.1.short
https://tunza.eco-generation.org/ambassadorReportView.jsp?viewID=51082"
R_93_932,"Arts, entertainment and recreation",Sports activities and amusement and recreation activities,Other amusement and recreation activities,,Group,Other amusement and recreation activities can cause disturbances like noise and light pollution due to the operation of attractions e.g. fairgrounds and use by guests and vehicles that can disrupt or negatively affect species populations.,"Other amusement and recreation activities such as events, water rides, games, shows and exhibits can take place in freshwater ecosystems.","Other amusement and recreation activities using facilities that are powered using on-site energy generators can release greenhouse gases emissions from energy use for sound systems and rides, contributing to air pollution.","Recreational boating, including sailing, motorboating, and yachting, can lead to the use of anchorages in coastal and marine areas. Anchoring and marinas can cause physical damage to the seabed, especially in sensitive ecosystems such as seagrass beds or coral reefs.","Gaseous waste, discharges from facilities and operations, as well as emissions from backup power generators used to run equipment, collectively contribute to environmental pollution, emitting non-greenhouse gases.","Recreational fishing can put pressure on fish populations, especially if it is not properly regulated. Overfishing, excessive catch-and-release practices, and illegal fishing can deplete fish stocks, disrupt aquatic ecosystems, and harm the overall biodiversity of rivers, lakes, and oceans.",N/A,"Some amusement and recreation activities generate wastewater that may contain contaminants such as oil, grease, heavy metals, or other chemicals. If not properly treated or disposed of, this wastewater can be discharged into water bodies and soils, leading to pollution and ecological damage.",ND,"Office buildings associated with service provision create solid waste. The exact types of solid waste produced will vary, but these can include non-product outputs such as glass, metal, plastic, paper and cardboard, wood, and rubber and leather. Improper disposal of this waste can contribute to habitat degradation and land contamination.",Amusement and recreation activities can occupy land.,"Other recreational activities such as public and private swimming pools require regular water replenishment and maintenance. Other activities such as golf courses require extensive irrigation which leads to a substantial water footprint, which may be unsustainable in many areas of the world.","Camping and outdoor activities involve moving firewood, which can harbour invasive insects, such as emerald ash borer and Asian longhorned beetle. When infested firewood is transported to new areas, these invasive species can be introduced and cause significant damage to native trees and forests. ","Jeffrey Rosenblum, †, Arpad Horvath, ‡ and  Chris Hendrickson*, † 2000. Environmental Implications of Service Industries. Available at: https://pubs.acs.org/doi/abs/10.1021/es9914083.
https://www.sciencedirect.com/science/article/abs/pii/S1364032117303039"
E_38_382,"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste treatment and disposal,,Group,"Waste disposal and treatment activities can cause disturbances like noise, light and odour pollution due to the operation of disposal facilities and waste transportation, that can disrupt or negatively affect species populations.",ND,"Waste treatment and disposal can release greenhouse gases emissions from the organic waste in landfills (e.g., food scraps and yard trimmings) and treatment methods (e.g. incineration), contributing to air pollution. ",ND,"Waste treatment and disposal can result in non-greenhouse gases, releasing air pollutants like particulate matter, sulfur dioxide, nitrogen oxides, volatile organic compounds, and heavy metals.",N/A,N/A,"Inadequate containment or disposal of hazardous waste can cause the emission of harmful substances like heavy metals, chemical contaminants, pesticides, and other toxins into the soil and water bodies. ",Inadequate treatment processes or improper disposal methods of waste treatment and disposal activities can result in the release of nutrient pollutants and substances into the soil and water.,"Waste treatment and disposal activities can generate solid waste through activities such as the disposal to landfill sites. Types of solid waste vary but include non-product outputs such as oil, debris, discarded equipment, packaging, and other byproducts of the remediation process.",Land may be occupied for waste treatment and disposal.,Waste treatment and disposal requires water use to treat wastewater and to dispose of solid waste.,"Waste treatment and disposal activities can introduce invasive species if not handled and disposed of properly. If precautions are not taken, these species can be transported to new areas via waste materials, causing harm to native ecosystems.","https://www.sciencedirect.com/science/article/pii/S0301479719304323
https://doi.org/10.1016/j.envint.2004.08.005
https://www.nature.com/articles/s43017-023-00404-1
https://setac.onlinelibrary.wiley.com/doi/full/10.1002/etc.5620180427?casa_token=BQ9iJKrzSw4AAAAA%3AoLPik7vrRSHqS0vOocZN5KCegBFPUKM-7Sik_GdlhyO6mNEAt11K5ED4geFt7pDufaNT9VUcqlp4Sg
https://www.cbd.int/doc/c/27e1/6d42/f3900704869b1d803714e136/sbstta-22-inf-29-en.pdf"
H_50_502,Transportation and storage,Water transport,Inland water transport,,Group,"Inland water transport can cause disturbances like noise pollution due to the operation of vehicles and machinery. Noise transmission can either be waterborne, airborne or structure-borne and can disrupt or negatively affect species populations.","Inland water transport requires use of freshwater areas (e.g. lakes, rivers and man-made waterways) for the movement of water vehicles as well as for harbours, piers and other infrastructure. Due to the interconnected nature of freshwater ecosystems, inland water transport can also affect shoreline areas (e.g. by altering sediment dynamics).","Inland water transport can release greenhouse gases from transport as well as to produce energy when docked in port (e.g. for lighting, heating, cooling, ventilation), contributing to air pollution.",N/A,"Inland water transport can release non-GHG air pollutants from transport as well as to produce energy when docked in port (e.g. for lighting, heating, cooling, ventilation). Non-GHG air pollutants emitted by ships include carbon monoxide (CO), hydrocarbons, nitrogen oxide (NOx), sulphur dioxide (SO2), particulates, and volatile organic compounds (VOCs).",N/A,N/A,"Inland water transport can emit toxic pollutants through (1) chemicals used for washing of ships that can affect erosion of estuaries, sediment resuspension, and turbidity, (2) oil and fuel leakage from motors and cargo, (3) spillage of antifouling paints.","Water and soil pollutants, including phosphorus and nitrogen, may leak from cargo in case of accidents.","Inland water transport activities generate solid waste. The exact type of waste will vary but can include ship related organic, domestic, and operational waste. This can lead to habitat degradation or water pollution from improper disposal.",N/A,"Inland water transport uses water for a variety of purposes, including cooling, ballasting, washing and firefighting.","Inland water transportation may cause population changes due to collisions with wildlife. It's also a vector of unintentional species introduction, promoting invasion of non-native species that can alter (and impact) species populations. ","Endresen, Ø., Sørgård, E., Sundet, J. K., Dalsøren, S. B., Isaksen, I. S. A., Berglen, T. F., & Gravir, G. (2003). Emission from international sea transportation and environmental impact. Journal of Geophysical Research, 108(D17), 4560. https://doi.org/10.1029/2002JD002898; Ricciardi, A. (2016). Tracking marine alien species by ship movements. Proceedings of the National Academy of Sciences of the United States of America, 113(20), 5470–1. https://doi.org/10.1073/pnas.1605152113;
https://www.sciencedirect.com/science/article/pii/S0025326X16300881
https://academic.oup.com/bioscience/article/53/4/341/250178
https://www.mdpi.com/2071-1050/12/19/8231"
